S.No,From Date,To Date,PM2.5 (ug/m3),Ozone (ug/m3),SO2 (ug/m3),PM10 (ug/m3),NO2 (ug/m3),CO (mg/m3)
158,07-Jun-2017 - 00:00,08-Jun-2017 - 00:00,,,,,,
159,08-Jun-2017 - 00:00,09-Jun-2017 - 00:00,,,,,,
160,09-Jun-2017 - 00:00,10-Jun-2017 - 00:00,,,,,,
161,10-Jun-2017 - 00:00,11-Jun-2017 - 00:00,,,,,,
162,11-Jun-2017 - 00:00,12-Jun-2017 - 00:00,,,,,,
163,12-Jun-2017 - 00:00,13-Jun-2017 - 00:00,,,,,,
164,13-Jun-2017 - 00:00,14-Jun-2017 - 00:00,,,,,,
165,14-Jun-2017 - 00:00,15-Jun-2017 - 00:00,,,,,,
166,15-Jun-2017 - 00:00,16-Jun-2017 - 00:00,,,,,,
167,16-Jun-2017 - 00:00,17-Jun-2017 - 00:00,,,,,,
168,17-Jun-2017 - 00:00,18-Jun-2017 - 00:00,,,,,,
169,18-Jun-2017 - 00:00,19-Jun-2017 - 00:00,,,,,,
170,19-Jun-2017 - 00:00,20-Jun-2017 - 00:00,,,,,,
171,20-Jun-2017 - 00:00,21-Jun-2017 - 00:00,,,,,,
172,21-Jun-2017 - 00:00,22-Jun-2017 - 00:00,,,,,,
173,22-Jun-2017 - 00:00,23-Jun-2017 - 00:00,,,,,,
174,23-Jun-2017 - 00:00,24-Jun-2017 - 00:00,,,,,,
175,24-Jun-2017 - 00:00,25-Jun-2017 - 00:00,,,,,,
176,25-Jun-2017 - 00:00,26-Jun-2017 - 00:00,,,,,,
177,26-Jun-2017 - 00:00,27-Jun-2017 - 00:00,,,,,,
178,27-Jun-2017 - 00:00,28-Jun-2017 - 00:00,,,,,,
179,28-Jun-2017 - 00:00,29-Jun-2017 - 00:00,,,,,,
180,29-Jun-2017 - 00:00,30-Jun-2017 - 00:00,,,,,,
181,30-Jun-2017 - 00:00,01-Jul-2017 - 00:00,,,,,,
182,01-Jul-2017 - 00:00,02-Jul-2017 - 00:00,,,,,,
183,02-Jul-2017 - 00:00,03-Jul-2017 - 00:00,,,,,,
184,03-Jul-2017 - 00:00,04-Jul-2017 - 00:00,,,,,,
185,04-Jul-2017 - 00:00,05-Jul-2017 - 00:00,,,,,,
186,05-Jul-2017 - 00:00,06-Jul-2017 - 00:00,,,,,,
187,06-Jul-2017 - 00:00,07-Jul-2017 - 00:00,,,,,,
188,07-Jul-2017 - 00:00,08-Jul-2017 - 00:00,,,,,,
189,08-Jul-2017 - 00:00,09-Jul-2017 - 00:00,,,,,,
190,09-Jul-2017 - 00:00,10-Jul-2017 - 00:00,,,,,,
191,10-Jul-2017 - 00:00,11-Jul-2017 - 00:00,,,,,,
192,11-Jul-2017 - 00:00,12-Jul-2017 - 00:00,,,,,,
193,12-Jul-2017 - 00:00,13-Jul-2017 - 00:00,,,,,,
194,13-Jul-2017 - 00:00,14-Jul-2017 - 00:00,,,,,,
195,14-Jul-2017 - 00:00,15-Jul-2017 - 00:00,,,,,,
196,15-Jul-2017 - 00:00,16-Jul-2017 - 00:00,,,,,,
197,16-Jul-2017 - 00:00,17-Jul-2017 - 00:00,,,,,,
198,17-Jul-2017 - 00:00,18-Jul-2017 - 00:00,,,,,,
199,18-Jul-2017 - 00:00,19-Jul-2017 - 00:00,,,,,,
,,,,,,,,
201,20-Jul-2017 - 00:00,21-Jul-2017 - 00:00,,,,,,
202,21-Jul-2017 - 00:00,22-Jul-2017 - 00:00,,,,,,
203,22-Jul-2017 - 00:00,23-Jul-2017 - 00:00,,,,,,
204,23-Jul-2017 - 00:00,24-Jul-2017 - 00:00,,,,,,
205,24-Jul-2017 - 00:00,25-Jul-2017 - 00:00,,,,,,
206,25-Jul-2017 - 00:00,26-Jul-2017 - 00:00,,,,,,
207,26-Jul-2017 - 00:00,27-Jul-2017 - 00:00,,,,,,
208,27-Jul-2017 - 00:00,28-Jul-2017 - 00:00,,,,,,
209,28-Jul-2017 - 00:00,29-Jul-2017 - 00:00,,,,,,
210,29-Jul-2017 - 00:00,30-Jul-2017 - 00:00,,,,,,
211,30-Jul-2017 - 00:00,31-Jul-2017 - 00:00,,,,,,
212,31-Jul-2017 - 00:00,01-Aug-2017 - 00:00,,,,,,
213,01-Aug-2017 - 00:00,02-Aug-2017 - 00:00,,,,,,
214,02-Aug-2017 - 00:00,03-Aug-2017 - 00:00,,,,,,
215,03-Aug-2017 - 00:00,04-Aug-2017 - 00:00,,,,,,
216,04-Aug-2017 - 00:00,05-Aug-2017 - 00:00,,,,,,
217,05-Aug-2017 - 00:00,06-Aug-2017 - 00:00,,,,,,
218,06-Aug-2017 - 00:00,07-Aug-2017 - 00:00,,,,,,
219,07-Aug-2017 - 00:00,08-Aug-2017 - 00:00,,,,,,
220,08-Aug-2017 - 00:00,09-Aug-2017 - 00:00,,,,,,
221,09-Aug-2017 - 00:00,10-Aug-2017 - 00:00,,,,,,
222,10-Aug-2017 - 00:00,11-Aug-2017 - 00:00,,,,,,
223,11-Aug-2017 - 00:00,12-Aug-2017 - 00:00,,,,,,
224,12-Aug-2017 - 00:00,13-Aug-2017 - 00:00,,,,,,
225,13-Aug-2017 - 00:00,14-Aug-2017 - 00:00,,,,,,
226,14-Aug-2017 - 00:00,15-Aug-2017 - 00:00,,,,,,
227,15-Aug-2017 - 00:00,16-Aug-2017 - 00:00,,,,,,
228,16-Aug-2017 - 00:00,17-Aug-2017 - 00:00,,,,,,
229,17-Aug-2017 - 00:00,18-Aug-2017 - 00:00,,,,,,
230,18-Aug-2017 - 00:00,19-Aug-2017 - 00:00,,,,,,
231,19-Aug-2017 - 00:00,20-Aug-2017 - 00:00,,,,,,
232,20-Aug-2017 - 00:00,21-Aug-2017 - 00:00,,,,,,
233,21-Aug-2017 - 00:00,22-Aug-2017 - 00:00,,,,,,
234,22-Aug-2017 - 00:00,23-Aug-2017 - 00:00,,,,,,
235,23-Aug-2017 - 00:00,24-Aug-2017 - 00:00,,,,,,
236,24-Aug-2017 - 00:00,25-Aug-2017 - 00:00,,,,,,
237,25-Aug-2017 - 00:00,26-Aug-2017 - 00:00,,,,,,
238,26-Aug-2017 - 00:00,27-Aug-2017 - 00:00,,,,,,
239,27-Aug-2017 - 00:00,28-Aug-2017 - 00:00,,,,,,
240,28-Aug-2017 - 00:00,29-Aug-2017 - 00:00,,,,,,
241,29-Aug-2017 - 00:00,30-Aug-2017 - 00:00,,,,,,
242,30-Aug-2017 - 00:00,31-Aug-2017 - 00:00,,,,,,
243,31-Aug-2017 - 00:00,01-Sep-2017 - 00:00,,,,,,
244,01-Sep-2017 - 00:00,02-Sep-2017 - 00:00,,,,,,
245,02-Sep-2017 - 00:00,03-Sep-2017 - 00:00,,,,,,
246,03-Sep-2017 - 00:00,04-Sep-2017 - 00:00,,,,,,
247,04-Sep-2017 - 00:00,05-Sep-2017 - 00:00,,,,,,
248,05-Sep-2017 - 00:00,06-Sep-2017 - 00:00,,,,,,
249,06-Sep-2017 - 00:00,07-Sep-2017 - 00:00,,,,,,
250,07-Sep-2017 - 00:00,08-Sep-2017 - 00:00,,,,,,
251,08-Sep-2017 - 00:00,09-Sep-2017 - 00:00,,,,,,
252,09-Sep-2017 - 00:00,10-Sep-2017 - 00:00,,,,,,
253,10-Sep-2017 - 00:00,11-Sep-2017 - 00:00,,,,,,
