S.No,From Date,To Date,PM2.5 (ug/m3),Ozone (ug/m3),SO2 (ug/m3),PM10 (ug/m3),NO2 (ug/m3),CO (mg/m3)
1006,03-Oct-2019 - 00:00,04-Oct-2019 - 00:00,,16.95,9.73,40.65,,
1007,04-Oct-2019 - 00:00,05-Oct-2019 - 00:00,,18.4,11.09,33.25,,
1008,05-Oct-2019 - 00:00,06-Oct-2019 - 00:00,,18.33,9.41,43.43,,
1009,06-Oct-2019 - 00:00,07-Oct-2019 - 00:00,,19.39,9.83,47.75,,
1010,07-Oct-2019 - 00:00,08-Oct-2019 - 00:00,,15.64,9.33,26.71,,
1011,08-Oct-2019 - 00:00,09-Oct-2019 - 00:00,,11.56,9.95,22.45,,
1012,09-Oct-2019 - 00:00,10-Oct-2019 - 00:00,,10.37,11.27,6.16,,
1013,10-Oct-2019 - 00:00,11-Oct-2019 - 00:00,,3.74,11.8,24.56,,
1014,11-Oct-2019 - 00:00,12-Oct-2019 - 00:00,,111.79,10.49,37.5,,
1015,12-Oct-2019 - 00:00,13-Oct-2019 - 00:00,,3.86,10.68,51.62,,
1016,13-Oct-2019 - 00:00,14-Oct-2019 - 00:00,,4.0,10.49,71.31,,
1017,14-Oct-2019 - 00:00,15-Oct-2019 - 00:00,,23.34,10.7,87.41,,
1018,15-Oct-2019 - 00:00,16-Oct-2019 - 00:00,,18.73,11.45,68.77,,
1019,16-Oct-2019 - 00:00,17-Oct-2019 - 00:00,,12.97,11.25,79.16,,
1020,17-Oct-2019 - 00:00,18-Oct-2019 - 00:00,,12.97,10.5,3.82,,
1021,18-Oct-2019 - 00:00,19-Oct-2019 - 00:00,,13.52,10.63,74.07,,
1022,19-Oct-2019 - 00:00,20-Oct-2019 - 00:00,,15.08,10.85,62.5,,
1023,20-Oct-2019 - 00:00,21-Oct-2019 - 00:00,,15.0,11.41,56.13,,
1024,21-Oct-2019 - 00:00,22-Oct-2019 - 00:00,,17.09,10.83,78.14,,
1025,22-Oct-2019 - 00:00,23-Oct-2019 - 00:00,,14.84,10.69,62.08,,
1026,23-Oct-2019 - 00:00,24-Oct-2019 - 00:00,,14.77,10.89,46.72,,
1027,24-Oct-2019 - 00:00,25-Oct-2019 - 00:00,,13.89,12.77,32.85,,
1028,25-Oct-2019 - 00:00,26-Oct-2019 - 00:00,,11.12,11.1,13.29,,
1029,26-Oct-2019 - 00:00,27-Oct-2019 - 00:00,,10.83,12.07,30.57,,
1030,27-Oct-2019 - 00:00,28-Oct-2019 - 00:00,,12.53,11.27,63.31,,
1031,28-Oct-2019 - 00:00,29-Oct-2019 - 00:00,,14.07,12.06,121.29,,
1032,29-Oct-2019 - 00:00,30-Oct-2019 - 00:00,,14.41,11.5,116.77,,
1033,30-Oct-2019 - 00:00,31-Oct-2019 - 00:00,,14.24,11.37,87.39,,
1034,31-Oct-2019 - 00:00,01-Nov-2019 - 00:00,,18.8,11.22,114.66,,
1035,01-Nov-2019 - 00:00,02-Nov-2019 - 00:00,,16.79,10.9,127.19,,
1036,02-Nov-2019 - 00:00,03-Nov-2019 - 00:00,,16.02,11.5,95.46,,
1037,03-Nov-2019 - 00:00,04-Nov-2019 - 00:00,,15.2,10.96,90.49,,
1038,04-Nov-2019 - 00:00,05-Nov-2019 - 00:00,,15.87,11.42,118.83,,
1039,05-Nov-2019 - 00:00,06-Nov-2019 - 00:00,,17.16,12.59,193.73,,
1040,06-Nov-2019 - 00:00,07-Nov-2019 - 00:00,,16.32,13.83,200.13,,
1041,07-Nov-2019 - 00:00,08-Nov-2019 - 00:00,,18.56,13.42,112.56,,
1042,08-Nov-2019 - 00:00,09-Nov-2019 - 00:00,,10.5,14.55,71.39,,
1043,09-Nov-2019 - 00:00,10-Nov-2019 - 00:00,,,,,,
1044,10-Nov-2019 - 00:00,11-Nov-2019 - 00:00,,,,,,
1045,11-Nov-2019 - 00:00,12-Nov-2019 - 00:00,,,,,,
1046,12-Nov-2019 - 00:00,13-Nov-2019 - 00:00,,19.57,13.4,96.29,,
1047,13-Nov-2019 - 00:00,14-Nov-2019 - 00:00,,16.69,14.2,103.79,,
1048,14-Nov-2019 - 00:00,15-Nov-2019 - 00:00,,16.3,13.89,93.81,,
1049,15-Nov-2019 - 00:00,16-Nov-2019 - 00:00,,14.59,13.78,95.94,,
1050,16-Nov-2019 - 00:00,17-Nov-2019 - 00:00,,15.55,13.54,116.07,,
1051,17-Nov-2019 - 00:00,18-Nov-2019 - 00:00,,14.9,15.05,116.44,,
