S.No,From Date,To Date,PM2.5 (ug/m3),Ozone (ug/m3),SO2 (ug/m3),PM10 (ug/m3),NO2 (ug/m3),CO (mg/m3)
1053,19-Nov-2019 - 00:00,20-Nov-2019 - 00:00,108.28,60.91,17.91,173.86,75.34,1.38
1054,20-Nov-2019 - 00:00,21-Nov-2019 - 00:00,104.4,51.74,11.8,169.24,86.18,1.51
1055,21-Nov-2019 - 00:00,22-Nov-2019 - 00:00,95.95,56.3,8.66,156.51,81.36,1.05
1056,22-Nov-2019 - 00:00,23-Nov-2019 - 00:00,101.31,56.9,14.61,178.86,80.76,1.05
1057,23-Nov-2019 - 00:00,24-Nov-2019 - 00:00,117.08,66.41,14.4,189.64,85.58,1.27
1058,24-Nov-2019 - 00:00,25-Nov-2019 - 00:00,145.72,52.37,11.87,225.82,91.55,1.3
1059,25-Nov-2019 - 00:00,26-Nov-2019 - 00:00,124.08,56.61,7.55,181.7,80.41,1.37
1060,26-Nov-2019 - 00:00,27-Nov-2019 - 00:00,122.35,48.24,6.08,178.71,75.98,1.75
1061,27-Nov-2019 - 00:00,28-Nov-2019 - 00:00,131.82,48.54,7.46,196.35,54.08,1.6
1062,28-Nov-2019 - 00:00,29-Nov-2019 - 00:00,86.09,45.32,7.87,134.01,31.28,1.19
1063,29-Nov-2019 - 00:00,30-Nov-2019 - 00:00,80.41,43.62,6.72,135.06,28.13,1.35
1064,30-Nov-2019 - 00:00,01-Dec-2019 - 00:00,119.66,42,16.57,201.56,22.98,1.96
1065,01-Dec-2019 - 00:00,02-Dec-2019 - 00:00,110.47,46.13,13.17,168.41,21.73,1.19
1066,02-Dec-2019 - 00:00,03-Dec-2019 - 00:00,92.36,38.17,16.99,142.49,22.45,1.29
1067,03-Dec-2019 - 00:00,04-Dec-2019 - 00:00,109.05,44.33,16.6,162.57,27.33,1.1
1068,04-Dec-2019 - 00:00,05-Dec-2019 - 00:00,111.66,50.9,21.37,181.18,29.59,0.86
1069,05-Dec-2019 - 00:00,06-Dec-2019 - 00:00,106.62,43.92,20.88,164.12,28.3,0.93
1070,06-Dec-2019 - 00:00,07-Dec-2019 - 00:00,75.2,31.45,12.42,117.83,22.44,0.81
1071,07-Dec-2019 - 00:00,08-Dec-2019 - 00:00,72.03,32.72,15.55,126.17,24.92,1.1
1072,08-Dec-2019 - 00:00,09-Dec-2019 - 00:00,75.83,32.63,17.1,99.98,24.66,0.8
1073,09-Dec-2019 - 00:00,10-Dec-2019 - 00:00,73.59,35.75,16.22,99.79,22.51,0.81
1074,10-Dec-2019 - 00:00,11-Dec-2019 - 00:00,60.89,48.5,16.11,118.95,26.56,0.61
1075,11-Dec-2019 - 00:00,12-Dec-2019 - 00:00,79.07,56.82,16.61,106.09,23.16,0.65
1076,12-Dec-2019 - 00:00,13-Dec-2019 - 00:00,70.08,41.77,15.54,125.37,20.5,0.76
1077,13-Dec-2019 - 00:00,14-Dec-2019 - 00:00,113.27,53.73,17.3,167.51,20.46,0.86
1078,14-Dec-2019 - 00:00,15-Dec-2019 - 00:00,134.43,44.77,17.34,209.17,30,1.1
1079,15-Dec-2019 - 00:00,16-Dec-2019 - 00:00,103.78,41.16,16.12,163.04,24.24,0.85
1080,16-Dec-2019 - 00:00,17-Dec-2019 - 00:00,67.95,32.75,18.19,127.34,25.24,0.67
1081,17-Dec-2019 - 00:00,18-Dec-2019 - 00:00,70.08,34.7,15.24,137.56,25.26,0.65
1082,18-Dec-2019 - 00:00,19-Dec-2019 - 00:00,69.87,45.98,14.24,136.7,22.39,0.6
1083,19-Dec-2019 - 00:00,20-Dec-2019 - 00:00,76.11,39.82,15.96,146.89,24.77,0.68
1084,20-Dec-2019 - 00:00,21-Dec-2019 - 00:00,101.48,36.65,15.3,184.87,33.03,1
1085,21-Dec-2019 - 00:00,22-Dec-2019 - 00:00,130.5,31.07,13.21,215.47,35.35,1.08
1086,22-Dec-2019 - 00:00,23-Dec-2019 - 00:00,127,29.77,9.94,187.14,29.7,1.11
1087,23-Dec-2019 - 00:00,24-Dec-2019 - 00:00,143.54,38.51,10.99,182.13,30.05,1.1
1088,24-Dec-2019 - 00:00,25-Dec-2019 - 00:00,136.56,33.53,12.83,190.88,37.15,1.59
1089,25-Dec-2019 - 00:00,26-Dec-2019 - 00:00,129.48,34.99,10.52,196.97,42.82,1.56
1090,26-Dec-2019 - 00:00,27-Dec-2019 - 00:00,121.7,28.83,11.09,188.37,31.51,0.98
1091,27-Dec-2019 - 00:00,28-Dec-2019 - 00:00,88.46,32.84,11.14,152.8,26.65,0.82
1092,28-Dec-2019 - 00:00,29-Dec-2019 - 00:00,132.05,30.16,9.72,223.46,32.84,1.08
1093,29-Dec-2019 - 00:00,30-Dec-2019 - 00:00,108.84,39.95,9.86,181.19,33.51,1
1094,30-Dec-2019 - 00:00,31-Dec-2019 - 00:00,135.16,27.45,11.55,223.41,40.22,1.7
1095,31-Dec-2019 - 00:00,01-Jan-2020 - 00:00,136.66,26.1,9.69,214.74,43.23,1.6
1096,01-Jan-2020 - 00:00,02-Jan-2020 - 00:00,116.5,31.28,12.3,237.14,47.96,1.54
1097,02-Jan-2020 - 00:00,03-Jan-2020 - 00:00,125.05,26.43,9.38,194.05,37.4,1.26
1098,03-Jan-2020 - 00:00,04-Jan-2020 - 00:00,52.27,17.8,4.98,83.25,21.66,0.47
1099,04-Jan-2020 - 00:00,05-Jan-2020 - 00:00,43.77,9.15,3.56,75.07,23.43,1.15
1100,05-Jan-2020 - 00:00,06-Jan-2020 - 00:00,44.77,10.15,4.56,76.07,24.43,1.15
1101,06-Jan-2020 - 00:00,07-Jan-2020 - 00:00,76.93,24.52,4.81,161.58,32.52,1.28
1102,07-Jan-2020 - 00:00,08-Jan-2020 - 00:00,111.19,36.77,6.93,185.15,33.98,1.08
1103,08-Jan-2020 - 00:00,09-Jan-2020 - 00:00,131.12,32.29,4.41,190.55,35.2,1.11
1104,09-Jan-2020 - 00:00,10-Jan-2020 - 00:00,95.19,22.5,5.5,131.86,32.71,0.92
1105,10-Jan-2020 - 00:00,11-Jan-2020 - 00:00,89.16,22.34,12.42,125.02,32.81,0.83
1106,11-Jan-2020 - 00:00,12-Jan-2020 - 00:00,120.88,34.59,11.37,137.29,31.48,1.1
1107,12-Jan-2020 - 00:00,13-Jan-2020 - 00:00,72.79,39.94,9.64,115.6,32.72,0.77
1108,13-Jan-2020 - 00:00,14-Jan-2020 - 00:00,98.46,41.69,9.37,147.86,46.18,1.74
1109,14-Jan-2020 - 00:00,15-Jan-2020 - 00:00,191.92,36.3,8.98,267.06,58.74,2.58
1110,15-Jan-2020 - 00:00,16-Jan-2020 - 00:00,225.42,28.61,9.91,290.85,71.79,2.16
1111,16-Jan-2020 - 00:00,17-Jan-2020 - 00:00,145.72,42.13,10.33,221.02,46.34,1.35
1112,17-Jan-2020 - 00:00,18-Jan-2020 - 00:00,118.11,33.14,9.31,184.33,47.69,1.43
1113,18-Jan-2020 - 00:00,19-Jan-2020 - 00:00,83.92,31.75,12.53,138.79,45.84,1.04
1114,19-Jan-2020 - 00:00,20-Jan-2020 - 00:00,84.83,32.64,11.09,153.81,35.35,0.89
1115,20-Jan-2020 - 00:00,21-Jan-2020 - 00:00,74.44,38.8,10.22,124.86,29.98,0.85
1116,21-Jan-2020 - 00:00,22-Jan-2020 - 00:00,86.59,40.1,10.59,153.72,46.17,1.12
1117,22-Jan-2020 - 00:00,23-Jan-2020 - 00:00,105.22,,9.92,182.51,54.57,1.22
1118,23-Jan-2020 - 00:00,24-Jan-2020 - 00:00,123.01,32.12,13.21,200.5,44.59,1.22
1119,24-Jan-2020 - 00:00,25-Jan-2020 - 00:00,82.12,38.63,13.18,148.62,47.46,1.03
1120,25-Jan-2020 - 00:00,26-Jan-2020 - 00:00,69.99,53.51,11.21,114.07,44.39,0.9
1121,26-Jan-2020 - 00:00,27-Jan-2020 - 00:00,125.8,47.21,9.87,175.65,55.95,1.43
1122,27-Jan-2020 - 00:00,28-Jan-2020 - 00:00,122.15,44.99,9.01,218.4,55.13,1.33
1123,28-Jan-2020 - 00:00,29-Jan-2020 - 00:00,107.51,53.9,12.21,249.96,37.48,0.94
1124,29-Jan-2020 - 00:00,30-Jan-2020 - 00:00,47.04,49.03,6.62,252.81,18.04,0.5
1125,30-Jan-2020 - 00:00,31-Jan-2020 - 00:00,55.16,29.78,6.19,199.21,24.53,1.06
1126,31-Jan-2020 - 00:00,01-Feb-2020 - 00:00,82.91,33.11,9.19,151.13,34.12,1.03
1127,01-Feb-2020 - 00:00,02-Feb-2020 - 00:00,66.56,41.04,8.18,135.28,42.64,0.98
1128,02-Feb-2020 - 00:00,03-Feb-2020 - 00:00,75.11,43.69,11.13,133.18,43.9,0.93
1129,03-Feb-2020 - 00:00,04-Feb-2020 - 00:00,94.77,45.24,6.14,165.75,42.45,1.08
1130,04-Feb-2020 - 00:00,05-Feb-2020 - 00:00,80.89,39.77,12.6,159.11,51.36,1.01
1131,05-Feb-2020 - 00:00,06-Feb-2020 - 00:00,103.34,50.2,18.22,184.35,42.27,0.97
1132,06-Feb-2020 - 00:00,07-Feb-2020 - 00:00,101.43,39.76,8.28,178.64,38.36,1.02
1133,07-Feb-2020 - 00:00,08-Feb-2020 - 00:00,118.97,40.47,9.64,195.56,35.19,0.81
1134,08-Feb-2020 - 00:00,09-Feb-2020 - 00:00,164.43,16.98,16.08,272.06,40.17,1.08
1135,09-Feb-2020 - 00:00,10-Feb-2020 - 00:00,125.05,46.34,13.8,217.09,42.22,0.98
1136,10-Feb-2020 - 00:00,11-Feb-2020 - 00:00,109.95,48.57,10.1,204.69,50.19,1.03
1137,11-Feb-2020 - 00:00,12-Feb-2020 - 00:00,133.03,41.49,10.21,286.73,68.46,1.44
1138,12-Feb-2020 - 00:00,13-Feb-2020 - 00:00,130.33,44.71,9.06,262.37,72.78,1.48
